ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
8057,8057,bĩ̵ĩ̵́,ustedyousingular24323,false,expert,Chacon2017,b   ĩ ̵ ĩ ̵   -   -,,Chacon2017
8058,8058,bĩ̵́ã,ustedesyouplural24282,false,expert,Chacon2017,-   -   -   -   b   ĩ ̵   ã   -   -   -   -   -   -   -,,Chacon2017
8059,8059,hórikawese,sementerademaizcornfield21993,false,expert,Chacon2017,h   o   r   i   k   a   w   e   s   e,,Chacon2017
8060,8060,díabã,quebradacanostream20144,false,expert,Chacon2017,-   -   -   -   d   i   a   -   -   b   ã   -   -   -,,Chacon2017
8061,8061,bãã́,trochapath23863,false,expert,Chacon2017,b   ã ã,,Chacon2017
8062,8062,kapesáro,cuernohorn6912,false,expert,Chacon2017,(   k   a   p   e   )   s   a   -   -   -   r   o   -   -,,Chacon2017
8063,8063,póa,plumafeather26683,false,expert,Chacon2017,p   o   a   -   -,,Chacon2017
8064,8064,di̵poséro,unagarrafingernailclaw24453,false,expert,Chacon2017,d   i ̵   p   o   -   -   -   -   -   -   -   s   e   -   r   o   -   -   -   -   -   -   -,,Chacon2017
8065,8065,jẽbẽtutí,higadoliver11774,false,expert,Chacon2017,j   ẽ   -   b   ẽ   t   u   t   i   -   -,,Chacon2017
8066,8066,sĩdĩ́,beberdrink2343,false,expert,Chacon2017,s   ĩ   -   d   ĩ,,Chacon2017
8067,8067,ĩjã́,versee24966,false,expert,Chacon2017,-   ĩ   -   j   ã   -   -   -   -   -   -,,Chacon2017
8068,8068,ti̵ó,oirhear17362,false,expert,Chacon2017,t   i ̵   -   o,,Chacon2017
8069,8069,diáhõã,morirdie26794,false,expert,Chacon2017,d   i   a   -   -   -   -   -   -   h   õ   ã   (   -   -   -   -   ),,Chacon2017
8070,8070,atí,venircome24808,false,expert,Chacon2017,-   a   -   t   i,,Chacon2017
8071,8071,ĩ̵tãgĩ̵́,montanamountain14609,false,expert,Chacon2017,-   ĩ ̵   t   ã   g   ĩ ̵   -,,Chacon2017
8072,8072,dadá,llenofull26802,false,expert,Chacon2017,d   a   d   a,,Chacon2017
8073,8073,japí,llenofull13278,false,expert,Chacon2017,j   a   p   i   -   -   -,,Chacon2017
8074,8074,bãbã,nuevonew16437,false,expert,Chacon2017,-   -   b   ã   -   b   ã   -   -,,Chacon2017
8075,8075,wãbẽ́,nombrename15941,false,expert,Chacon2017,w   ã   b   ẽ   -   -,,Chacon2017
8076,8076,putí,soplarblow71,false,expert,Chacon2017,-   -   -   -   -   -   -   p   u   t   i   -   -   -   -   -   -   -,,Chacon2017
8077,8077,páapu,soplarblow71,false,expert,Chacon2017,-   -   -   -   -   p   a a   p   u   -   -   -   -   -   -   -   -   -,,Chacon2017
8078,8078,putí,soplarblow71,false,expert,Chacon2017,-   -   -   -   -   -   -   p   u   t   i   -   -   -   -   -   -   -,,Chacon2017
8079,8079,ĩã́pṹũ,soplarblow22545,false,expert,Chacon2017,ĩ   ã   p   ũ ũ,,Chacon2017
8080,8080,jẽ́bẽ́ro,lenguatongue12983,false,expert,Chacon2017,-   j   ẽ   -   b   ẽ   r   o   (   -   -   -   -   -   -   -   -   -   ),,Chacon2017
8081,8081,upíga,dientetooth7669,false,expert,Chacon2017,-   u   p   i   g   a   -   -   -   -   -   -   -   -   -,,Chacon2017
8082,8082,ĩ́kĩ́ã,nariznose15502,false,expert,Chacon2017,-   -   -   -   -   -   -   ĩ   -   -   k   ĩ   -   -   ã   -   -   -   -   -   -   -   -   -   -,,Chacon2017
8083,8083,kapéga,ojoeye16685,false,expert,Chacon2017,k   a   p   e   -   -   -   (   -   g   a   -   -   ),,Chacon2017
8084,8084,ã́bṍpéro,orejaear16987,false,expert,Chacon2017,-   ã   -   b   õ   -   -   -   -   p   e   r   o   -   -,,Chacon2017
8085,8085,õpẽ́gã,tetasenopechowomansbreasts23352,false,expert,Chacon2017,õ   -   p   ẽ   (   g   ã   -   ),,Chacon2017
8086,8086,ã́bṍ,manohand2835,false,expert,Chacon2017,-   ã   b   õ   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -,,Chacon2017
